negeri,kod_pusat,institusi,program,kod_noss,kategori,tahap,status,alamat,telefon,emel,idpb,utama,ptk
TERENGGANU,K06019,AKADEMI PERIKANAN MALAYSIA,OPERASI PERIKANAN TANGKAPAN,A031-002-3:2022,Program Penuh - Persijilan Mengikut Tahap,SKM Tahap 3,Aktif,(JABATAN PERIKANAN MALAYSIA) TAMAN PERIKANAN CHENDERING 21080 KUALA TERENGGANU TERENGGANU,09-6172361,apm@dof.gov.my,1195,False,False
TERENGGANU,L03000,AVICENNA ACADEMY MALAYSIA - FAKULTI PERUBATAN (UniSZA),PENJAGAAN IBU SELEPAS BERSALIN MAMACARE,Q869-002-4:2016,Program Penuh - Persijilan Tahap Tunggal,Diploma Kemahiran Malaysia,Aktif,KAMPUS PERUBATAN JALAN SULTAN MAHMUD,01121336397,avicennaacademymalaysia@gmail.com,19788,True,True
TERENGGANU,L03000,AVICENNA ACADEMY MALAYSIA - FAKULTI PERUBATAN (UniSZA),TERAPI BEKAM BASAH,Q869-005-4:2024,Program Penuh - Persijilan Tahap Tunggal,Diploma Kemahiran Malaysia,Aktif,KAMPUS PERUBATAN JALAN SULTAN MAHMUD,01121336397,avicennaacademymalaysia@gmail.com,19788,False,True
TERENGGANU,L03000,AVICENNA ACADEMY MALAYSIA - FAKULTI PERUBATAN (UniSZA),Urut Terapeutik & Penjagaan,MP-082-4:2012,Program Penuh - Persijilan Tahap Tunggal,Diploma Kemahiran Malaysia,Aktif,KAMPUS PERUBATAN JALAN SULTAN MAHMUD,01121336397,avicennaacademymalaysia@gmail.com,19788,True,True
TERENGGANU,L00738,ERA SKILL COLLEGE,Proses Kimpalan Arka Kepingan Logam,MC-024-3:2012,Program Penuh - Persijilan Mengikut Tahap,SKM Tahap 3,Aktif,"NO. 5, 6 & 7, KILANG BIMBINGAN IKS, KAWASAN PERINDUSTRIAN AJIL, 21800 AJIL",0199566821,info@eratraining.my,1206,False,False
TERENGGANU,K02111,GIATMARA BATU RAKIT,Automotif-Servis Selepas Jualan,TP-300-2:2013,Program Penuh - Persijilan Mengikut Tahap,SKM Tahap 2,Sekat Pengambilan,"LOT 9278, KG. WAKAF CAGAK, BATU RAKIT, 21020 BATU RAKIT, TERENGGANU",09-6693117,gmbaturakit@giatmara.edu.my,1179,False,False
TERENGGANU,K02111,GIATMARA BATU RAKIT,Motosikal - Perkhidmatan Pembaikan,G454-001-2:2018,Program Penuh - Persijilan Tahap Tunggal,SKM Tahap 2,Aktif,"LOT 9278, KG. WAKAF CAGAK, BATU RAKIT, 21020 BATU RAKIT, TERENGGANU",09-6693117,gmbaturakit@giatmara.edu.my,1179,False,False
TERENGGANU,K02111,GIATMARA BATU RAKIT,PEMBUATAN PASTRI,HT-014-2:2011,Program Penuh - Persijilan Mengikut Tahap,SKM Tahap 2,Aktif,"LOT 9278, KG. WAKAF CAGAK, BATU RAKIT, 21020 BATU RAKIT, TERENGGANU",09-6693117,gmbaturakit@giatmara.edu.my,1179,False,False
TERENGGANU,K02111,GIATMARA BATU RAKIT,PERKHIDMATAN PEMBAIKAN – KENDERAAN RINGAN,G452-002-2:2018,Program Penuh - Persijilan Mengikut Tahap,SKM Tahap 2,Aktif,"LOT 9278, KG. WAKAF CAGAK, BATU RAKIT, 21020 BATU RAKIT, TERENGGANU",09-6693117,gmbaturakit@giatmara.edu.my,1179,False,False
TERENGGANU,K02111,GIATMARA BATU RAKIT,"Pemasangan dan Penyelenggaraan Satu Fasa Penyamanan Udara, Pengudaraan, Pemanasan (HVAC)",F432-007-3:2020,Program Penuh - Persijilan Mengikut Tahap,SKM Tahap 3,Aktif,"LOT 9278, KG. WAKAF CAGAK, BATU RAKIT, 21020 BATU RAKIT, TERENGGANU",09-6693117,gmbaturakit@giatmara.edu.my,1179,False,False
